한편	O
,	O
AFC	O
챔피언스	O
리그	O
E	OG
조	OG
에	O
속하	O
ㄴ	O
포항	O
역시	O
대회	O
8강	O
진출	O
이	O
불투명	O
하	O
다	O
.	O

2003	DT
년	DT
6	DT
월	DT
14	DT
일	DT
사직	O
두산	O
전	O
이후	O
박명환	PS
에게	O
당하	O
았	O
던	O
10	O
연패	O
사슬	O
을	O
거의	O
5	DT
년	DT
만	O
에	O
끊	O
는	O
의미	O
있	O
는	O
승리	O
이	O
었	O
다	O
.	O

AP	OG
통신	OG
은	O
8	DT
일	DT
(	O
이하	O
한국	LC
시간	O
)	O
올라주원	PS
,	O
유잉	PS
을	O
비롯	O
하	O
아	O
애드리언	PS
댄틀리	PS
,	O
팻	PS
라일리	PS
감독	O
,	O
캐시	PS
러시	PS
감독	O
,	O
TV	O
해설가	O
딕	PS
바이텔	PS
,	O
디트로이트	OG
피스톤스	OG
의	O
구단주	O
윌리엄	PS
데이비드슨	PS
등	O
이	PS
2008	DT
명예	O
의	O
전당	O
헌액	O
자	O
로	OG
결정	O
되	O
었	O
다고	O
보	O
아도	O
하	O
았	O
다	O
.	O

(	O
개막	O
6	O
연패	O
)	O
"	O
짐	PS
릴랜드	PS
디트로이트	OG
감독	O
은	O
메이저리그	OG
에서	O
손꼽히	O
는	O
명장	O
이	OG
면서	O
덕장	O
이	OG
다	O
.	O

역시	O
새로	O
데려오	O
ㄴ	O
돈트렐	PS
윌리스	PS
는	O
6	DT
일	DT
경기	O
에서	O
삼진	O
을	O
하나	O
도	O
잡	O
지	O
않	O
고	O
볼넷	O
7	O
개	O
를	O
내주	O
는	O
엽기	O
피칭	O
을	O
하	O
었	O
다	O
.	O

웽거	PS
감독	O
은	O
8	DT
일	DT
(	O
이하	O
한국	LC
시간	O
)	O
"	O
나	O
는	O
아직	O
우리	O
가	O
프리미어	OG
리그	OG
챔피언	O
이	O
되	O
ㄹ	O
수	O
있	O
을	O
것	O
이	O
라고	O
생각	O
하	O
ㄴ다	O
.	O

[	O
베이스	O
볼	O
테마록	O
테마록	O
]	O
기록	O
으로	O
보	O
ㄴ	O
두산	OG
과	O
LG	OG
의	O
허약	O
하	O
ㄴ	O
득점력	O

그러나	O
상대	O
배터리	O
도	O
굳이	O
김동주	PS
를	O
피하	O
지	O
않	O
고	O
있	O
다	O
.	O

올	DT
시즌	DT
37	O
골	O
로	O
시즌	DT
골랭킹	O
에서	O
도	O
단연	O
으뜸	O
인	O
호나우두	PS
는	O
이미	O
1992	DT
년	DT
EPL	OG
출범	O
이후	O
한	O
시즌	DT
최다	O
골	O
기록	O
을	O
작성	O
하	O
ㄴ	O
것	O
은	O
물론	O
.	O

선덜랜드	OG
(	O
원정	O
)	O
등	O
약체	O
들	O
과	O
대진	O
을	O
남기	O
어	O
놓	O
고	O
있	O
다	O
.	O

주소창	O
에	O
'	O
스포츠	OG
'	O
만	O
치	O
시	O
면	O
스포츠서울	OG
닷컴	OG
기사	O
가	O
한눈	O
에	O
!	O

하지만	O
빅	O
4	O
외	O
의	O
클럽	O
들	O
에	O
는	O
유럽	LC
클럽	O
무대	O
에	O
출전	O
하	O
ㄹ	O
수	O
있	O
는	O
절호	O
의	O
기회	O
로	O
인식	O
되	O
어	O
초반	O
라운드	O
부터	O
베스트	O
11	O
을	O
총출동	O
시키	O
ㄴ다	O
.	O

이동국	PS
은	O
지나	O
ㄴ	O
겨울	DT
이적	O
시장	O
에서	O
이적	O
설	O
이	PS
제기	O
되	O
었	O
지만	O
본인	OG
이	PS
미들즈브러	OG
에서	O
시즌	O
을	O
마치	O
고	O
싶	O
다는	O
의사	O
를	O
표하	O
았	O
었	O
다	O
.	O

박	PS
감독	O
은	O
이번	O
촌부리	O
전	O
결과	O
에	O
따르	O
아	O
챔피언스	O
리그	O
와	O
정규	O
리그	O
운영	O
방식	O
을	O
